key;title;url;fact
"pue";"ПУЭ, 7-е издание";"https://docs.cntd.ru/document/902112231";"Правила устройства электроустановок — требования к монтажу, заземлению и выбору сечений кабелей"
"repair-com-kg";"Repair.com.kg (Бишкек)";"https://repair.com.kg/electric-v-bishkeke.html";"розетки от 80 сом, люстра от 500, автомат 300–500, щитовые от 1200"
"eco-service-kg";"Eco-service.kg (Бишкек)";"https://eco-service.kg/elektrik/wiring-rep";"электроточка 300–600 сом; квартира 60 м² — 25–45 тыс. сом; дом под ключ от 50 тыс."
"elmaster-kg";"Elmaster.kg (Бишкек)";"https://elmaster.kg/elektromontazh-pod-kljuch/";"автомат однофазный от 400 сом; розетка под плиту в бетон от 200 сом"
"electrician-kg";"Electrician.kg (Бишкек)";"https://electrician.kg/";"выезд за 30 минут, работы от 300 сом, гарантия до 5 лет"
"flagma-karakol";"Flagma — услуги электрика Каракол";"https://flagma-kg.com/ru/products/uslugi-elektrika/karakolissyk/";"электрик в Караколе от 500 сом/услуга"
"lalafo-karakol";"Lalafo — электрики Каракол";"https://lalafo.kg/karakol/remont/electricians";"полный спектр электромонтажных работ в Караколе"
"wiki-bosteri";"Википедия — Бостери";"https://ru.wikipedia.org/wiki/Бостери";"8 км восточнее Чолпон-Аты, население 7 815 чел. (2020), трасса А-363"
"wiki-cholpon";"Википедия — Чолпон-Ата";"https://ru.wikipedia.org/wiki/Чолпон-Ата";"курортный город областного подчинения на северном берегу Иссык-Куля"
"issykkul-biz";"IssykKul.Biz — города и сёла";"https://www.issykkul.biz/issyyk-kul6/goroda_issyyk-kulja.aspx";"Корумду — 25 км от Чолпон-Аты; Булан-Сегетту — 20 км"
"nacstat-kg";"Нацстат КР";"http://stat.kg";"официальная численность населения населённых пунктов"
