slug;name;distance_km;travel_fee_kgs;zone;population;lat;lon;url
"cholpon-ata";"Чолпон-Ата";"0";"0";"city";"12500";"42.6492";"77.0839";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/cholpon-ata/"
"baktuu-dolonotu";"Бактуу-Долоноту";"6";"200";"core";"1500";"42.6528";"77.1275";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/baktuu-dolonotu/"
"bosteri";"Бостери";"8";"200";"core";"7815";"42.65";"77.18";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/bosteri/"
"kara-oy";"Кара-Ой";"12";"200";"core";"2200";"42.6381";"77.2242";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kara-oy/"
"sary-oy";"Сары-Ой";"14";"200";"core";"1100";"42.63";"77.26";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/sary-oy/"
"temirovka";"Темировка";"15";"300";"core";"900";"42.61";"76.98";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/temirovka/"
"tamchy";"Тамчы";"16";"300";"core";"3500";"42.5614";"76.9833";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/tamchy/"
"baetovka";"Баетовка";"17";"300";"core";"800";"42.55";"76.95";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/baetovka/"
"chok-tal";"Чок-Тал";"18";"300";"core";"1300";"42.54";"76.92";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/chok-tal/"
"zharkynbaevo";"Жаркынбаево";"19";"300";"core";"1600";"42.53";"76.89";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/zharkynbaevo/"
"bulan-segettu";"Булан-Сегетту";"20";"300";"core";"2400";"42.52";"76.85";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/bulan-segettu/"
"chet-baysoorun";"Чет-Байсоорун";"21";"400";"core";"1200";"42.51";"76.82";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/chet-baysoorun/"
"oy-terek";"Ой-Терек";"22";"400";"core";"1000";"42.5";"76.79";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/oy-terek/"
"kyzyl-oryuk";"Кызыл-Орюк";"23";"400";"core";"900";"42.49";"76.76";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kyzyl-oryuk/"
"karool-debe";"Кароол-Дёбё";"24";"400";"core";"1400";"42.48";"76.73";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/karool-debe/"
"kosh-kel";"Кош-Кёль";"24";"400";"core";"700";"42.475";"76.72";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kosh-kel/"
"kok-debe";"Кёк-Дёбё";"25";"400";"core";"800";"42.47";"76.7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kok-debe/"
"korumdu";"Корумду";"25";"400";"core";"2100";"42.46";"76.67";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/korumdu/"
