url;service;location;distance_km;travel_fee_kgs;price_min_kgs;price_max_kgs
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-baktuu-dolonotu/";"Срочный вызов электрика";"Бактуу-Долоноту";"6";"200";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-bosteri/";"Срочный вызов электрика";"Бостери";"8";"200";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-kara-oy/";"Срочный вызов электрика";"Кара-Ой";"12";"200";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-sary-oy/";"Срочный вызов электрика";"Сары-Ой";"14";"200";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-temirovka/";"Срочный вызов электрика";"Темировка";"15";"300";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-tamchy/";"Срочный вызов электрика";"Тамчы";"16";"300";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-baetovka/";"Срочный вызов электрика";"Баетовка";"17";"300";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-chok-tal/";"Срочный вызов электрика";"Чок-Тал";"18";"300";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-zharkynbaevo/";"Срочный вызов электрика";"Жаркынбаево";"19";"300";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-bulan-segettu/";"Срочный вызов электрика";"Булан-Сегетту";"20";"300";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-chet-baysoorun/";"Срочный вызов электрика";"Чет-Байсоорун";"21";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-oy-terek/";"Срочный вызов электрика";"Ой-Терек";"22";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-kyzyl-oryuk/";"Срочный вызов электрика";"Кызыл-Орюк";"23";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-karool-debe/";"Срочный вызов электрика";"Кароол-Дёбё";"24";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-kosh-kel/";"Срочный вызов электрика";"Кош-Кёль";"24";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-kok-debe/";"Срочный вызов электрика";"Кёк-Дёбё";"25";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-korumdu/";"Срочный вызов электрика";"Корумду";"25";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-kashat/";"Срочный вызов электрика";"Кашат";"26";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-grigorievskaya-pristan/";"Срочный вызов электрика";"Григорьевская пристань";"28";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-toru-aygyr/";"Срочный вызов электрика";"Тору-Айгыр";"28";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-kodzhoyar/";"Срочный вызов электрика";"Коджояр";"29";"400";"575";"1150"
"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/srochnyy-vyzov-elektrika-v-ananevo/";"Срочный вызов электрика";"Ананьево";"33";"500";"575";"1150"
