slug;name;category;price_min_kgs;price_max_kgs;unit;time;geo_priority;tags;url
"srochnyy-vyzov-elektrika";"Срочный вызов электрика";"avariynye-raboty";"575";"1150";"выезд + работы";"приезд 30–90 минут";"yes";"srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/srochnyy-vyzov-elektrika/"
"korotkoe-zamykanie";"Устранение короткого замыкания";"avariynye-raboty";"1150";"3400";"случай";"1–4 часа";"no";"srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/korotkoe-zamykanie/"
"vybivaet-avtomat";"Выбивает автомат — найдём причину";"avariynye-raboty";"900";"2300";"выезд";"1–3 часа";"no";"avtomaty|srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/vybivaet-avtomat/"
"propal-svet";"Пропал свет — диагностика и восстановление";"avariynye-raboty";"900";"2000";"выезд";"1–2 часа";"no";"srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/propal-svet/"
"greyutsya-rozetki";"Греются и искрят розетки";"avariynye-raboty";"700";"1700";"точка";"30–90 минут";"no";"srochno-24-7|rozetki";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/greyutsya-rozetki/"
"poisk-utechki-toka";"Поиск утечки тока";"avariynye-raboty";"1400";"3400";"выезд";"2–4 часа";"no";"srochno-24-7|uzo";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/poisk-utechki-toka/"
"elektrik-24-7";"Электрик круглосуточно 24/7";"avariynye-raboty";"800";"1380";"час";"ночные вызовы";"no";"srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/avariynye-raboty/elektrik-24-7/"
"podklyuchenie-elektroplity";"Подключение электроплиты";"bytovaya-tehnika";"900";"2000";"шт";"1–2 часа";"no";"bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-elektroplity/"
"podklyuchenie-varochnoy-paneli";"Подключение варочной панели";"bytovaya-tehnika";"900";"2000";"шт";"1–2 часа";"no";"bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-varochnoy-paneli/"
"podklyuchenie-duhovki";"Подключение духового шкафа";"bytovaya-tehnika";"800";"1700";"шт";"40–90 минут";"no";"bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-duhovki/"
"podklyuchenie-stiralnoy-mashiny";"Подключение стиральной машины";"bytovaya-tehnika";"700";"1600";"шт";"40–80 минут";"no";"bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-stiralnoy-mashiny/"
